File,Affine_0_X,Affine_0_Y,Affine_1_X,Affine_1_Y,Confidence,FTE,FrameNumber,FrontalFace_X,FrontalFace_Y,FrontalFace_Width,FrontalFace_Height,StasmLeftEye_X,StasmLeftEye_Y,StasmRightEye_X,StasmRightEye_Y
fourFaces.png,607,280,695,281,54756,false,0,535,184,234,234,695,281,607,280
fourFaces.png,607,280,695,281,130321,false,0,49,186,361,361,695,281,607,280
fourFaces.png,607,280,695,281,133956,false,0,557,529,366,366,695,281,607,280
