File,Affine_0_X,Affine_0_Y,Affine_1_X,Affine_1_Y,Confidence,FTE,FrameNumber,FrontalFace_X,FrontalFace_Y,FrontalFace_Width,FrontalFace_Height,StasmLeftEye_X,StasmLeftEye_Y,StasmRightEye_X,StasmRightEye_Y
fourFaces1.jpg,608,280,694,281,54756,false,0,535,184,234,234,694,281,608,280
fourFaces1.jpg,608,280,694,281,57600,false,0,878,248,240,240,694,281,608,280
fourFaces1.jpg,608,280,694,281,130321,false,0,49,186,361,361,694,281,608,280
fourFaces1.jpg,608,280,694,281,133956,false,0,557,529,366,366,694,281,608,280
